timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-11-24T17:45:57.294204,1,student_4_lec_2a96290c_be40b550,lec_2a96290c,cv101,1,0.95,engaged,55.11,-0.0035,-0.0011,-0.0052,-0.0025,-0.0188,-0.0051,-149.82,-136.63,19.15,459.44,2327.5,-178.85,-2.82,-1.89,3.48,2.61,1.52,2.47,5.0,2.53,3.17,4.63,2.91,2.03,2.09,5.0,2.42,0.86,4.14,5.0,0.0,3.96,2.54,0.06
2025-11-24T17:45:58.320914,2,student_4_lec_2a96290c_be40b550,lec_2a96290c,cv101,1,0.95,highly_engaged,83.93,-0.0065,-0.003,-0.0056,0.003,0.0023,-0.0058,11.2,3.14,-85.97,458.46,2251.41,-178.91,16.78,-2.04,2.8,2.01,2.2,3.57,5.0,1.43,3.07,4.65,2.85,1.99,2.15,5.0,2.37,0.3,4.7,5.0,0.0,3.92,2.34,0
2025-11-24T17:45:59.387707,3,student_4_lec_2a96290c_be40b550,lec_2a96290c,cv101,1,0.95,engaged,56.64,-0.0035,-0.0026,-0.0055,0.0,-0.0018,-0.0058,16.29,-158.65,-137.83,457.12,2221.43,-178.94,21.88,-3.43,2.89,2.1,2.11,2.8,5.0,2.2,3.05,4.71,2.88,2.02,2.12,5.0,2.4,0.04,4.96,5.0,0.0,3.94,2.37,0
2025-11-24T17:46:00.442724,4,student_4_lec_2a96290c_be40b550,lec_2a96290c,cv101,1,0.95,engaged,59.48,-0.0058,-0.0025,-0.0054,0.0014,-0.0034,-0.0058,16.74,-152.3,-155.67,468.2,2240.98,-179.98,24.31,-4.18,2.71,1.89,2.29,3.47,5.0,1.53,3.05,4.4,2.81,1.97,2.19,5.0,2.34,0.05,4.95,5.0,0.0,3.91,2.3,0
2025-11-24T17:46:01.486544,5,student_4_lec_2a96290c_be40b550,lec_2a96290c,cv101,1,0.95,engaged,58.88,-0.0064,-0.0023,-0.0054,0.0015,-0.0037,-0.0058,17.89,-152.1,-154.54,464.05,2246.85,-179.75,23.37,-3.98,2.77,2.01,2.23,3.35,5.0,1.65,3.08,4.27,2.79,1.96,2.21,5.0,2.33,0.0,5.0,5.0,0.0,3.9,2.34,0
2025-11-24T17:46:02.490977,6,student_4_lec_2a96290c_be40b550,lec_2a96290c,cv101,1,0.95,engaged,58.76,-0.0055,-0.0028,-0.0055,0.0002,-0.0053,-0.0058,21.29,-145.42,-148.76,460.61,2242.84,-179.17,21.6,-3.99,2.85,2.06,2.15,3.29,5.0,1.71,3.13,4.22,2.87,2.01,2.13,5.0,2.39,0.0,5.0,5.0,0.0,3.94,2.35,0
2025-11-24T17:46:03.543839,7,student_4_lec_2a96290c_be40b550,lec_2a96290c,cv101,1,0.95,engaged,58.78,-0.0022,-0.0025,-0.0058,-0.0005,-0.002,-0.0058,-167.32,-158.87,-41.26,470.79,2250.82,-178.22,8.14,-2.54,2.74,1.99,2.26,3.23,5.0,1.77,3.11,4.25,3.02,2.12,1.98,5.0,2.52,0.07,4.93,5.0,0.0,4.01,2.33,0
2025-11-24T17:46:04.604934,8,student_4_lec_2a96290c_be40b550,lec_2a96290c,cv101,1,0.95,engaged,62.55,-0.0045,-0.0014,-0.0061,0.0045,-0.0036,-0.0058,-0.31,-157.71,110.82,456.28,2230.74,176.16,-14.97,0.46,2.69,1.98,2.31,4.08,5.0,0.92,2.97,4.8,3.08,2.15,1.92,5.0,2.57,0.17,4.83,5.0,0.0,4.04,2.33,0
2025-11-24T17:46:05.655941,9,student_4_lec_2a96290c_be40b550,lec_2a96290c,cv101,1,0.95,engaged,61.79,-0.0041,-0.0009,-0.0061,0.0053,-0.0039,-0.0059,-3.71,-159.21,104.87,472.01,2238.78,179.49,-8.0,0.62,2.88,2.13,2.12,3.91,5.0,1.09,3.14,4.5,3.09,2.16,1.91,5.0,2.58,0.36,4.64,5.0,0.0,4.04,2.38,0
2025-11-24T17:46:06.717523,10,student_4_lec_2a96290c_be40b550,lec_2a96290c,cv101,1,0.95,engaged,61.12,-0.0036,-0.002,-0.0059,0.0052,-0.0038,-0.0059,-5.1,-154.5,59.39,472.37,2249.3,-179.99,1.33,-0.4,3.06,2.23,1.94,3.74,5.0,1.26,3.11,4.49,3.14,2.2,1.86,5.0,2.62,0.61,4.39,5.0,0.0,4.07,2.41,0
