timestamp,session_id,student_id,lecture_id,course_id,frame_path,engagement_score,status,face_detected,gaze_angle_x,gaze_angle_y,head_pose_rx,head_pose_ry,head_pose_rz
2025-10-24T09:38:38.170564,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093838_171567.jpg,54.62,engaged,1,-173.67,167.08,-164.92,21.33,-3.74
2025-10-24T09:38:39.190436,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093839_191877.jpg,50.72,engaged,1,-166.84,-15.36,-165.12,18.89,177.5
2025-10-24T09:38:40.228656,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093840_229710.jpg,55.73,engaged,1,-21.71,-139.81,-165.15,21.96,-2.0
2025-10-24T09:38:41.256940,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093841_257471.jpg,57.11,engaged,1,-6.27,-139.95,-166.35,10.98,-3.04
2025-10-24T09:38:42.278884,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093842_280346.jpg,55.19,engaged,1,4.67,-149.74,-167.06,19.34,-1.33
2025-10-24T09:38:43.286703,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093843_287723.jpg,54.28,engaged,1,6.9,-158.1,-167.3,16.26,-1.77
2025-10-24T09:38:44.308633,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093844_309656.jpg,55.69,engaged,1,-161.49,-167.02,-162.62,19.56,-0.37
2025-10-24T09:38:45.350810,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093845_351810.jpg,54.28,engaged,1,153.25,7.13,-166.53,11.21,-1.57
2025-10-24T09:38:46.372876,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093846_373860.jpg,56.73,engaged,1,-166.07,-150.69,-166.71,-8.1,0.89
2025-10-24T09:38:47.393426,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093847_393426.jpg,0.0,no_face,0,0.0,0.0,0.0,0.0,0.0
2025-10-24T09:38:48.404123,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093848_404123.jpg,0.0,no_face,0,0.0,0.0,0.0,0.0,0.0
2025-10-24T09:38:49.429040,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093849_429040.jpg,0.0,no_face,0,0.0,0.0,0.0,0.0,0.0
2025-10-24T09:38:50.449735,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093850_449735.jpg,0.0,no_face,0,0.0,0.0,0.0,0.0,0.0
2025-10-24T09:38:51.511667,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093851_511667.jpg,0.0,no_face,0,0.0,0.0,0.0,0.0,0.0
2025-10-24T09:38:52.574523,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093852_575526.jpg,56.32,engaged,1,-12.26,-147.22,-158.09,16.66,-173.14
2025-10-24T09:38:53.623569,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093853_623569.jpg,58.55,engaged,1,147.42,-136.65,-161.2,26.02,-174.19
2025-10-24T09:38:54.677997,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093854_678523.jpg,53.74,engaged,1,-151.02,20.5,-164.44,-0.88,1.91
2025-10-24T09:38:55.753509,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093855_754485.jpg,53.75,engaged,1,-155.03,-160.95,-174.83,-30.68,-178.47
2025-10-24T09:38:56.818350,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093856_818868.jpg,54.85,engaged,1,-171.06,-177.62,-173.19,-24.72,178.41
2025-10-24T09:38:57.878882,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093857_880632.jpg,54.41,engaged,1,177.6,-170.81,-170.09,-16.39,178.19
2025-10-24T09:38:58.926454,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093858_928522.jpg,57.01,engaged,1,-137.02,-166.06,-169.46,-10.15,-2.45
2025-10-24T09:38:59.926004,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093859_926955.jpg,57.52,engaged,1,-163.77,-158.79,-171.68,-29.77,-178.82
2025-10-24T09:39:00.966388,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093900_968440.jpg,53.95,engaged,1,-146.98,-177.8,-170.72,-19.91,2.14
2025-10-24T09:39:01.970370,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093901_971970.jpg,55.81,engaged,1,-118.01,-145.96,-173.68,-21.01,-178.84
2025-10-24T09:39:03.024487,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093903_024487.jpg,50.72,engaged,1,-142.73,17.46,-169.82,-9.64,2.65
2025-10-24T09:39:04.085579,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093904_086580.jpg,52.6,engaged,1,-165.09,-140.79,-165.59,15.48,-1.57
2025-10-24T09:39:05.133491,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093905_134452.jpg,51.43,engaged,1,-124.46,13.25,-172.18,14.01,-3.74
2025-10-24T09:39:06.184724,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093906_184724.jpg,50.99,engaged,1,-137.96,-157.77,-161.5,9.68,1.54
2025-10-24T09:39:07.240938,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093907_240938.jpg,48.75,partially_engaged,1,-150.62,-166.99,-165.2,10.74,-2.64
2025-10-24T09:39:08.301776,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093908_302777.jpg,54.23,engaged,1,-164.15,-148.38,-170.44,-4.61,-6.92
2025-10-24T09:39:09.302624,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093909_302624.jpg,49.52,partially_engaged,1,-144.42,12.89,-168.09,9.96,-3.03
2025-10-24T09:39:10.342542,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093910_343509.jpg,51.73,engaged,1,24.13,-155.7,-167.83,3.93,-2.0
2025-10-24T09:39:11.399569,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093911_400588.jpg,53.44,engaged,1,-155.44,-153.02,-170.0,-8.96,-2.56
2025-10-24T09:39:12.464674,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093912_465658.jpg,51.19,engaged,1,-158.44,6.08,-171.26,-9.94,-2.7
2025-10-24T09:39:13.518105,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093913_518620.jpg,53.34,engaged,1,-133.69,17.45,-171.21,-8.14,-3.81
2025-10-24T09:39:14.568622,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093914_569655.jpg,53.64,engaged,1,-126.65,11.68,-170.99,-26.83,179.56
2025-10-24T09:39:15.570972,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093915_571970.jpg,50.54,engaged,1,-158.17,-9.85,-165.94,-16.98,-0.64
2025-10-24T09:39:16.625771,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093916_626772.jpg,54.41,engaged,1,149.22,0.27,-176.32,-20.0,-5.07
2025-10-24T09:39:17.674230,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093917_675950.jpg,54.64,engaged,1,-141.42,-170.4,-169.71,-4.16,-1.04
2025-10-24T09:39:18.737614,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093918_737614.jpg,54.84,engaged,1,-151.93,1.15,-170.94,5.2,-6.1
2025-10-24T09:39:19.801760,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093919_803500.jpg,50.65,engaged,1,-142.21,-10.22,177.63,-11.77,-10.3
2025-10-24T09:39:20.857749,student_4_lec_2a96290c_3b05caef,student_4,lec_2a96290c,cv101,ml_data/captured_frames\student_4_lec_2a96290c_3b05caef_20251024_093920_858756.jpg,50.02,engaged,1,-133.44,18.41,-174.2,37.05,170.07
